model,rank,encoded_feature,original_feature,encoded_category,feature_type,feature_family,mean_abs_shap,mean_shap,business_meaning
stage5_lightgbm_smote_gpu,20,EXT_SOURCE_3,EXT_SOURCE_3,,numeric,external_score,0.1065745634567583,0.00788638056008598,外部信用评分相关变量，通常反映第三方或外部数据源对申请人风险质量的综合判断。
stage5_lightgbm_smote_gpu,21,EMERGENCYSTATE_MODE___MISSING__,EMERGENCYSTATE_MODE,__MISSING__,one_hot,other,0.09676787292154555,-0.09675761714231976,居住房屋所在区域的紧急状态标记。
stage5_lightgbm_smote_gpu,22,goods_credit_ratio,goods_credit_ratio,,numeric,amount_and_ratio,0.09227093571822598,-0.004242623250712895,商品价格相对授信金额的比例。
stage5_lightgbm_smote_gpu,23,OBS_30_CNT_SOCIAL_CIRCLE,OBS_30_CNT_SOCIAL_CIRCLE,,numeric,other,0.09226390052464632,-0.09226390052464632,How many observation of client's social surroundings with observable 30 DPD (days past due) default
stage5_lightgbm_smote_gpu,24,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_QRT,,numeric,amount_and_ratio,0.08613670776103953,-0.08613670776103953,Number of enquiries to Credit Bureau about the client 3 month before application (excluding one month before application)
stage5_lightgbm_smote_gpu,25,WEEKDAY_APPR_PROCESS_START_MONDAY,WEEKDAY_APPR_PROCESS_START,MONDAY,one_hot,other,0.0855884106735213,-0.0855884106735213,贷款申请提交的星期几。
stage5_lightgbm_smote_gpu,26,EMERGENCYSTATE_MODE_No,EMERGENCYSTATE_MODE,No,one_hot,other,0.08231707227213898,-0.08231707227213898,居住房屋所在区域的紧急状态标记。
stage5_lightgbm_smote_gpu,27,NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS,Married,one_hot,categorical_profile,0.08207089310908673,-0.08167450393255668,婚姻/家庭状态。
stage5_lightgbm_smote_gpu,28,REG_CITY_NOT_WORK_CITY,REG_CITY_NOT_WORK_CITY,,numeric,other,0.08183275159556778,-0.08183275159556778,"Flag if client's permanent address does not match work address (1=different, 0=same, at city level)"
stage5_lightgbm_smote_gpu,29,DAYS_ID_PUBLISH,DAYS_ID_PUBLISH,,numeric,age_and_tenure,0.07579215808214487,-0.002902673032779914,身份证件签发距申请日的时间。
stage5_lightgbm_smote_gpu,30,EXT_SOURCE_1,EXT_SOURCE_1,,numeric,external_score,0.06303160179670664,0.0064303549347489025,外部信用评分相关变量，通常反映第三方或外部数据源对申请人风险质量的综合判断。
stage5_lightgbm_smote_gpu,31,FLAG_OWN_REALTY_Y,FLAG_OWN_REALTY,Y,one_hot,flags_and_contacts,0.06157625721428759,-0.06157625721428759,布尔标记类字段，反映申请材料、联系方式或资产信息是否存在。
stage5_lightgbm_smote_gpu,32,FLAG_OWN_REALTY_N,FLAG_OWN_REALTY,N,one_hot,flags_and_contacts,0.061479336140389765,-0.061472897668125734,布尔标记类字段，反映申请材料、联系方式或资产信息是否存在。
stage5_lightgbm_smote_gpu,33,bureau_request_total,bureau_request_total,,numeric,other,0.058270544353878635,-0.05823603185180997,征信查询次数汇总，可能反映近期信贷活跃度。
stage5_lightgbm_smote_gpu,34,OCCUPATION_TYPE_Laborers,OCCUPATION_TYPE,Laborers,one_hot,categorical_profile,0.05811620707409923,-0.05811620707409923,职业类型。
stage5_lightgbm_smote_gpu,35,WALLSMATERIAL_MODE_Panel,WALLSMATERIAL_MODE,Panel,one_hot,other,0.05705132365781761,-0.05705132365781761,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,36,REGION_RATING_CLIENT,REGION_RATING_CLIENT,,numeric,other,0.05611483679998623,-0.056107092682890984,客户所在区域评级。
stage5_lightgbm_smote_gpu,37,employment_age_ratio,employment_age_ratio,,numeric,amount_and_ratio,0.05610852047385194,-0.010417981558417607,"Derived feature: employment days divided by birth days, both relative to application date."
stage5_lightgbm_smote_gpu,38,EXT_SOURCE_2,EXT_SOURCE_2,,numeric,external_score,0.055065556757914594,0.0027355740120043838,外部信用评分相关变量，通常反映第三方或外部数据源对申请人风险质量的综合判断。
stage5_lightgbm_smote_gpu,39,log_AMT_GOODS_PRICE,log_AMT_GOODS_PRICE,,numeric,other,0.05444070727566948,-0.007426345400082844,商品价格的对数变换，用来降低极端商品价格对模型的影响。
stage5_lightgbm_smote_gpu,40,OCCUPATION_TYPE___MISSING__,OCCUPATION_TYPE,__MISSING__,one_hot,categorical_profile,0.052665655698032145,-0.052665655698032145,职业类型。
stage5_lightgbm_smote_gpu,41,AMT_ANNUITY,AMT_ANNUITY,,numeric,amount_and_ratio,0.04883938640787964,5.2260425693222295e-05,贷款年金/分期还款压力。
stage5_lightgbm_smote_gpu,42,DEF_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,,numeric,other,0.04853064813397673,-0.04724660826316682,How many observation of client's social surroundings defaulted on 60 (days past due) DPD
stage5_lightgbm_smote_gpu,43,ENTRANCES_MEDI,ENTRANCES_MEDI,,numeric,other,0.048136674581821456,-0.030248789204392137,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,44,OWN_CAR_AGE,OWN_CAR_AGE,,numeric,other,0.04557236065465247,-0.0390820414066541,Age of client's car
stage5_lightgbm_smote_gpu,45,HOUSETYPE_MODE_block of flats,HOUSETYPE_MODE,block of flats,one_hot,other,0.04474972820998383,-0.04474972820998383,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,46,HOUR_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,,numeric,other,0.043368093829334306,-0.043211282597261834,Approximately at what hour did the client apply for the loan
stage5_lightgbm_smote_gpu,47,NAME_HOUSING_TYPE_House / apartment,NAME_HOUSING_TYPE,House / apartment,one_hot,categorical_profile,0.04295863665367568,-0.04289280303099513,居住情况。
stage5_lightgbm_smote_gpu,48,WEEKDAY_APPR_PROCESS_START_WEDNESDAY,WEEKDAY_APPR_PROCESS_START,WEDNESDAY,one_hot,other,0.041781628838417385,-0.041706792397745905,贷款申请提交的星期几。
stage5_lightgbm_smote_gpu,49,REGION_POPULATION_RELATIVE,REGION_POPULATION_RELATIVE,,numeric,other,0.04155663871535055,-0.026214141320284493,申请人所在地区的人口相对密度。
stage5_lightgbm_smote_gpu,50,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_LIVE_CITY,,numeric,other,0.040343718132094836,-0.04018215870340213,"Flag if client's permanent address does not match contact address (1=different, 0=same, at city level)"
stage5_lightgbm_smote_gpu,51,LIVE_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,,numeric,other,0.04011250753017017,-0.04011250753017017,"Flag if client's contact address does not match work address (1=different, 0=same, at city level)"
stage5_lightgbm_smote_gpu,52,DAYS_LAST_PHONE_CHANGE,DAYS_LAST_PHONE_CHANGE,,numeric,age_and_tenure,0.0374387319239282,-0.005827845095158801,最近一次更换电话号码距申请日的时间，可能反映联系方式稳定性。
stage5_lightgbm_smote_gpu,53,NAME_TYPE_SUITE_Unaccompanied,NAME_TYPE_SUITE,Unaccompanied,one_hot,categorical_profile,0.037062184773442336,-0.037062184773442336,Who was accompanying client when he was applying for the loan
stage5_lightgbm_smote_gpu,54,age_years,age_years,,numeric,age_and_tenure,0.036597423574999885,0.004301979770480322,申请人年龄（年）。
stage5_lightgbm_smote_gpu,55,WALLSMATERIAL_MODE___MISSING__,WALLSMATERIAL_MODE,__MISSING__,one_hot,other,0.035238239099406855,-0.035236396504404265,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,56,DAYS_BIRTH,DAYS_BIRTH,,numeric,age_and_tenure,0.03320065718543833,0.00046361718073326797,申请人年龄，通常通过年龄阶段反映生命周期和收入稳定性。
stage5_lightgbm_smote_gpu,57,FONDKAPREMONT_MODE___MISSING__,FONDKAPREMONT_MODE,__MISSING__,one_hot,other,0.03293568541910952,-0.032921431275713994,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,58,WEEKDAY_APPR_PROCESS_START_TUESDAY,WEEKDAY_APPR_PROCESS_START,TUESDAY,one_hot,other,0.029545004686205623,-0.02951414802925799,贷款申请提交的星期几。
stage5_lightgbm_smote_gpu,59,OBS_60_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,,numeric,other,0.028793236911037443,-0.028525631315783083,How many observation of client's social surroundings with observable 60 DPD (days past due) default
stage5_lightgbm_smote_gpu,60,DAYS_EMPLOYED,DAYS_EMPLOYED,,numeric,age_and_tenure,0.027873652949532934,-0.004581243651859921,当前工作年限，反映就业稳定性。
stage5_lightgbm_smote_gpu,61,employment_years,employment_years,,numeric,age_and_tenure,0.025614738365067932,-0.0047784410869464,当前就业年限（年）。
stage5_lightgbm_smote_gpu,62,OCCUPATION_TYPE_Sales staff,OCCUPATION_TYPE,Sales staff,one_hot,categorical_profile,0.025429461950651273,-0.025360806154295347,职业类型。
stage5_lightgbm_smote_gpu,63,OCCUPATION_TYPE_Core staff,OCCUPATION_TYPE,Core staff,one_hot,categorical_profile,0.024145917508940438,-0.024145917508940438,职业类型。
stage5_lightgbm_smote_gpu,64,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_MON,,numeric,amount_and_ratio,0.023960638157346854,-0.023960638157346854,申请前一个月内的征信查询次数，反映近期信贷申请活跃度。
stage5_lightgbm_smote_gpu,65,WEEKDAY_APPR_PROCESS_START_FRIDAY,WEEKDAY_APPR_PROCESS_START,FRIDAY,one_hot,other,0.023145078311512093,-0.023132524336671303,贷款申请提交的星期几。
stage5_lightgbm_smote_gpu,66,annuity_income_ratio,annuity_income_ratio,,numeric,amount_and_ratio,0.02271067304494875,-0.00146979902242481,分期还款额相对收入的压力。
stage5_lightgbm_smote_gpu,67,DAYS_EMPLOYED_ANOMALY,DAYS_EMPLOYED_ANOMALY,,numeric,age_and_tenure,0.02118373884606787,-0.0030871775327779606,当前工作年限，反映就业稳定性。
stage5_lightgbm_smote_gpu,68,WEEKDAY_APPR_PROCESS_START_SUNDAY,WEEKDAY_APPR_PROCESS_START,SUNDAY,one_hot,other,0.018157374222532646,-0.018102717015887896,贷款申请提交的星期几。
stage5_lightgbm_smote_gpu,69,FLAG_DOCUMENT_6,FLAG_DOCUMENT_6,,numeric,flags_and_contacts,0.016869180486078893,-0.015582879389811958,申请材料中的文件提交标记，反映材料完整性。
stage5_lightgbm_smote_gpu,70,ENTRANCES_MODE,ENTRANCES_MODE,,numeric,other,0.015999710533975024,-0.015094893119444898,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,71,ORGANIZATION_TYPE_Construction,ORGANIZATION_TYPE,Construction,one_hot,categorical_profile,0.015645504675549197,-0.011682404159967652,工作单位/组织类型。
stage5_lightgbm_smote_gpu,72,AMT_GOODS_PRICE,AMT_GOODS_PRICE,,numeric,amount_and_ratio,0.015047268860030124,0.0017203999918104426,消费贷款对应商品价格。
stage5_lightgbm_smote_gpu,73,NAME_FAMILY_STATUS_Single / not married,NAME_FAMILY_STATUS,Single / not married,one_hot,categorical_profile,0.014936538047653871,-0.014791229214886303,婚姻/家庭状态。
stage5_lightgbm_smote_gpu,74,log_AMT_ANNUITY,log_AMT_ANNUITY,,numeric,other,0.013976761763996296,-0.0051650508351981424,分期还款金额的对数变换，用来降低极端年金值对模型的影响。
stage5_lightgbm_smote_gpu,75,"WALLSMATERIAL_MODE_Stone, brick",WALLSMATERIAL_MODE,"Stone, brick",one_hot,other,0.013722334527389189,-0.013552983918756931,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,76,AMT_CREDIT,AMT_CREDIT,,numeric,amount_and_ratio,0.013693890100490382,0.001448083504262156,贷款授信金额，金额越高，潜在敞口越大。
stage5_lightgbm_smote_gpu,77,OCCUPATION_TYPE_Accountants,OCCUPATION_TYPE,Accountants,one_hot,categorical_profile,0.012959922704175071,-0.012915119638800932,职业类型。
stage5_lightgbm_smote_gpu,78,DAYS_REGISTRATION,DAYS_REGISTRATION,,numeric,age_and_tenure,0.01256980037768269,0.0005706647384382833,最近一次变更登记信息距申请日的时间，可能反映居住或身份信息稳定性。
stage5_lightgbm_smote_gpu,79,credit_per_person,credit_per_person,,numeric,amount_and_ratio,0.012463773173738693,-0.001826276769571844,家庭人均授信金额。
stage5_lightgbm_smote_gpu,80,NAME_INCOME_TYPE_Commercial associate,NAME_INCOME_TYPE,Commercial associate,one_hot,categorical_profile,0.0124464011117533,-0.011973662320327698,收入来源类型。
stage5_lightgbm_smote_gpu,81,OCCUPATION_TYPE_Drivers,OCCUPATION_TYPE,Drivers,one_hot,categorical_profile,0.01201548410779331,-0.01156635888469564,职业类型。
stage5_lightgbm_smote_gpu,82,ELEVATORS_MODE,ELEVATORS_MODE,,numeric,other,0.01191111270394211,-0.0009915725806340177,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,83,WEEKDAY_APPR_PROCESS_START_THURSDAY,WEEKDAY_APPR_PROCESS_START,THURSDAY,one_hot,other,0.011666714423399161,-0.01160519854333163,贷款申请提交的星期几。
stage5_lightgbm_smote_gpu,84,NAME_HOUSING_TYPE_With parents,NAME_HOUSING_TYPE,With parents,one_hot,categorical_profile,0.010856434355923565,-0.010640460221869577,居住情况。
stage5_lightgbm_smote_gpu,85,document_flag_sum,document_flag_sum,,numeric,flags_and_contacts,0.010647188965406562,-0.008432467169810024,提交文件数量汇总，反映申请材料完整性。
stage5_lightgbm_smote_gpu,86,FLAG_EMP_PHONE,FLAG_EMP_PHONE,,numeric,flags_and_contacts,0.010403196576708157,0.0036095900931558582,布尔标记类字段，反映申请材料、联系方式或资产信息是否存在。
stage5_lightgbm_smote_gpu,87,NAME_CONTRACT_TYPE_Cash loans,NAME_CONTRACT_TYPE,Cash loans,one_hot,categorical_profile,0.01026567014980887,-0.005358533197418692,贷款产品类型。
stage5_lightgbm_smote_gpu,88,WEEKDAY_APPR_PROCESS_START_SATURDAY,WEEKDAY_APPR_PROCESS_START,SATURDAY,one_hot,other,0.0098105199481601,-0.009759535282113783,贷款申请提交的星期几。
stage5_lightgbm_smote_gpu,89,FLOORSMAX_MEDI,FLOORSMAX_MEDI,,numeric,other,0.00969363161018572,-0.006597858883895322,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,90,ext_source_std,ext_source_std,,numeric,external_score,0.008644517036206951,0.001243524254560211,三个外部信用评分的离散程度，用来衡量外部评分是否一致。
stage5_lightgbm_smote_gpu,91,credit_income_ratio,credit_income_ratio,,numeric,amount_and_ratio,0.00798201471710959,-0.0008086942195310629,授信金额相对收入的杠杆水平。
stage5_lightgbm_smote_gpu,92,ORGANIZATION_TYPE_School,ORGANIZATION_TYPE,School,one_hot,categorical_profile,0.007777877278140405,-0.007777877278140405,工作单位/组织类型。
stage5_lightgbm_smote_gpu,93,log_AMT_CREDIT,log_AMT_CREDIT,,numeric,other,0.007411772814445934,-0.001866306197513626,授信金额的对数变换，用来降低极端授信金额对模型的影响。
stage5_lightgbm_smote_gpu,94,contact_flag_sum,contact_flag_sum,,numeric,flags_and_contacts,0.007043947688263052,-0.006826698258375386,联系方式标记数量汇总，反映联系信息完整程度。
stage5_lightgbm_smote_gpu,95,OCCUPATION_TYPE_High skill tech staff,OCCUPATION_TYPE,High skill tech staff,one_hot,categorical_profile,0.006836761483389964,-0.006788915448087556,职业类型。
stage5_lightgbm_smote_gpu,96,income_per_person,income_per_person,,numeric,amount_and_ratio,0.006831392018942085,-0.0004892077778319867,家庭人均收入。
stage5_lightgbm_smote_gpu,97,FLOORSMAX_AVG,FLOORSMAX_AVG,,numeric,other,0.005707094239317643,-0.0023608107347614046,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,98,ORGANIZATION_TYPE_Transport: type 3,ORGANIZATION_TYPE,Transport: type 3,one_hot,categorical_profile,0.005637488168000149,-0.0004475699879891082,工作单位/组织类型。
stage5_lightgbm_smote_gpu,99,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BEGINEXPLUATATION_MEDI,,numeric,other,0.005381279247948546,-0.0020496699256548697,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,100,YEARS_BEGINEXPLUATATION_AVG,YEARS_BEGINEXPLUATATION_AVG,,numeric,other,0.005339689551615126,-0.0008635408617488676,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,101,FLOORSMAX_MODE,FLOORSMAX_MODE,,numeric,other,0.004991719030711588,-0.0046046397118217315,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,102,NAME_TYPE_SUITE_Family,NAME_TYPE_SUITE,Family,one_hot,categorical_profile,0.004857207106686158,-0.004233236309152053,Who was accompanying client when he was applying for the loan
stage5_lightgbm_smote_gpu,103,CNT_CHILDREN,CNT_CHILDREN,,numeric,family_structure,0.00467205423831527,-0.0040422955730537715,Number of children the client has
stage5_lightgbm_smote_gpu,104,ORGANIZATION_TYPE_Industry: type 9,ORGANIZATION_TYPE,Industry: type 9,one_hot,categorical_profile,0.00457337416047661,-0.00457271635657246,工作单位/组织类型。
stage5_lightgbm_smote_gpu,105,NAME_INCOME_TYPE_Pensioner,NAME_INCOME_TYPE,Pensioner,one_hot,categorical_profile,0.004544798086706668,0.0014553223344954665,收入来源类型。
stage5_lightgbm_smote_gpu,106,YEARS_BEGINEXPLUATATION_MODE,YEARS_BEGINEXPLUATATION_MODE,,numeric,other,0.004524136660552196,-0.0024370150889530986,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,107,FONDKAPREMONT_MODE_reg oper account,FONDKAPREMONT_MODE,reg oper account,one_hot,other,0.0044076028007491875,-0.004278568877211448,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,108,AMT_INCOME_TOTAL,AMT_INCOME_TOTAL,,numeric,amount_and_ratio,0.0038209281992144,-0.00011172326929170406,申请人收入水平，用于衡量还款能力。
stage5_lightgbm_smote_gpu,109,FLAG_DOCUMENT_5,FLAG_DOCUMENT_5,,numeric,flags_and_contacts,0.0035739142987261923,-0.001598749626251784,申请材料中的文件提交标记，反映材料完整性。
stage5_lightgbm_smote_gpu,110,LANDAREA_AVG,LANDAREA_AVG,,numeric,other,0.0035582116183160515,-0.001049398245856248,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,111,log_AMT_INCOME_TOTAL,log_AMT_INCOME_TOTAL,,numeric,other,0.0031846452018719448,-0.000438538906041371,收入金额的对数变换，用来降低极端收入值对模型的影响。
stage5_lightgbm_smote_gpu,112,APARTMENTS_MODE,APARTMENTS_MODE,,numeric,other,0.0030965660458637098,-0.00014613683708413188,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,113,FLAG_EMAIL,FLAG_EMAIL,,numeric,flags_and_contacts,0.003039976077831947,-0.002998589383709349,布尔标记类字段，反映申请材料、联系方式或资产信息是否存在。
stage5_lightgbm_smote_gpu,114,NAME_FAMILY_STATUS_Widow,NAME_FAMILY_STATUS,Widow,one_hot,categorical_profile,0.0030389517661618287,-0.0026874253951726873,婚姻/家庭状态。
stage5_lightgbm_smote_gpu,115,ORGANIZATION_TYPE_Military,ORGANIZATION_TYPE,Military,one_hot,categorical_profile,0.002457384314338983,-0.0024565220792986896,工作单位/组织类型。
stage5_lightgbm_smote_gpu,116,HOUSETYPE_MODE___MISSING__,HOUSETYPE_MODE,__MISSING__,one_hot,other,0.0024443148784747343,-0.0016117544180699252,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,117,COMMONAREA_MODE,COMMONAREA_MODE,,numeric,other,0.002423790454313462,-0.0005640387494080745,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,118,COMMONAREA_MEDI,COMMONAREA_MEDI,,numeric,other,0.002404770677479774,0.00020078078013722344,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,119,TOTALAREA_MODE,TOTALAREA_MODE,,numeric,other,0.002263575030380818,0.0005500447353690294,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,120,NAME_FAMILY_STATUS_Civil marriage,NAME_FAMILY_STATUS,Civil marriage,one_hot,categorical_profile,0.0022265748210532317,-0.001528787363793413,婚姻/家庭状态。
stage5_lightgbm_smote_gpu,121,LANDAREA_MODE,LANDAREA_MODE,,numeric,other,0.0021456826966135528,-0.0002543087830445222,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,122,YEARS_BUILD_MEDI,YEARS_BUILD_MEDI,,numeric,other,0.002123556737012487,-0.0008891224159818243,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
