model,rank,encoded_feature,original_feature,encoded_category,feature_type,feature_family,importance_gain,importance_split,business_meaning
stage5_lightgbm_smote_gpu,51,employment_age_ratio,employment_age_ratio,,numeric,amount_and_ratio,6789.0962171554565,308,"Derived feature: employment days divided by birth days, both relative to application date."
stage5_lightgbm_smote_gpu,52,EXT_SOURCE_1,EXT_SOURCE_1,,numeric,external_score,6587.552233219147,372,外部信用评分相关变量，通常反映第三方或外部数据源对申请人风险质量的综合判断。
stage5_lightgbm_smote_gpu,53,DAYS_LAST_PHONE_CHANGE,DAYS_LAST_PHONE_CHANGE,,numeric,age_and_tenure,6336.198582649231,376,最近一次更换电话号码距申请日的时间，可能反映联系方式稳定性。
stage5_lightgbm_smote_gpu,54,WEEKDAY_APPR_PROCESS_START_TUESDAY,WEEKDAY_APPR_PROCESS_START,TUESDAY,one_hot,other,5618.182958602905,67,贷款申请提交的星期几。
stage5_lightgbm_smote_gpu,55,AMT_ANNUITY,AMT_ANNUITY,,numeric,amount_and_ratio,5392.183962106705,261,贷款年金/分期还款压力。
stage5_lightgbm_smote_gpu,56,age_years,age_years,,numeric,age_and_tenure,4913.665706157684,302,申请人年龄（年）。
stage5_lightgbm_smote_gpu,57,DAYS_BIRTH,DAYS_BIRTH,,numeric,age_and_tenure,4721.097592353821,281,申请人年龄，通常通过年龄阶段反映生命周期和收入稳定性。
stage5_lightgbm_smote_gpu,58,REGION_POPULATION_RELATIVE,REGION_POPULATION_RELATIVE,,numeric,other,4664.491187572479,301,申请人所在地区的人口相对密度。
stage5_lightgbm_smote_gpu,59,HOUR_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,,numeric,other,4659.569322824478,223,Approximately at what hour did the client apply for the loan
stage5_lightgbm_smote_gpu,60,ext_source_std,ext_source_std,,numeric,external_score,4631.55938911438,316,三个外部信用评分的离散程度，用来衡量外部评分是否一致。
stage5_lightgbm_smote_gpu,61,WEEKDAY_APPR_PROCESS_START_WEDNESDAY,WEEKDAY_APPR_PROCESS_START,WEDNESDAY,one_hot,other,4521.952387809753,60,贷款申请提交的星期几。
stage5_lightgbm_smote_gpu,62,annuity_income_ratio,annuity_income_ratio,,numeric,amount_and_ratio,4264.549383163452,287,分期还款额相对收入的压力。
stage5_lightgbm_smote_gpu,63,DAYS_REGISTRATION,DAYS_REGISTRATION,,numeric,age_and_tenure,4197.424600601196,328,最近一次变更登记信息距申请日的时间，可能反映居住或身份信息稳定性。
stage5_lightgbm_smote_gpu,64,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_MON,,numeric,amount_and_ratio,4174.600383758545,65,申请前一个月内的征信查询次数，反映近期信贷申请活跃度。
stage5_lightgbm_smote_gpu,65,DAYS_EMPLOYED,DAYS_EMPLOYED,,numeric,age_and_tenure,4010.309868335724,210,当前工作年限，反映就业稳定性。
stage5_lightgbm_smote_gpu,66,WEEKDAY_APPR_PROCESS_START_THURSDAY,WEEKDAY_APPR_PROCESS_START,THURSDAY,one_hot,other,3989.0514092445374,60,贷款申请提交的星期几。
stage5_lightgbm_smote_gpu,67,credit_per_person,credit_per_person,,numeric,amount_and_ratio,3788.039285182953,285,家庭人均授信金额。
stage5_lightgbm_smote_gpu,68,employment_years,employment_years,,numeric,age_and_tenure,3721.082905769348,179,当前就业年限（年）。
stage5_lightgbm_smote_gpu,69,OCCUPATION_TYPE_Drivers,OCCUPATION_TYPE,Drivers,one_hot,categorical_profile,3607.4957976341248,47,职业类型。
stage5_lightgbm_smote_gpu,70,credit_income_ratio,credit_income_ratio,,numeric,amount_and_ratio,3424.5456495285034,249,授信金额相对收入的杠杆水平。
stage5_lightgbm_smote_gpu,71,log_AMT_GOODS_PRICE,log_AMT_GOODS_PRICE,,numeric,other,3399.914294242859,147,商品价格的对数变换，用来降低极端商品价格对模型的影响。
stage5_lightgbm_smote_gpu,72,OWN_CAR_AGE,OWN_CAR_AGE,,numeric,other,3314.616669654846,180,Age of client's car
stage5_lightgbm_smote_gpu,73,AMT_GOODS_PRICE,AMT_GOODS_PRICE,,numeric,amount_and_ratio,3029.7632513046265,158,消费贷款对应商品价格。
stage5_lightgbm_smote_gpu,74,document_flag_sum,document_flag_sum,,numeric,flags_and_contacts,2959.8432364463806,109,提交文件数量汇总，反映申请材料完整性。
stage5_lightgbm_smote_gpu,75,FLAG_DOCUMENT_6,FLAG_DOCUMENT_6,,numeric,flags_and_contacts,2905.00816488266,39,申请材料中的文件提交标记，反映材料完整性。
stage5_lightgbm_smote_gpu,76,contact_flag_sum,contact_flag_sum,,numeric,flags_and_contacts,2776.984004497528,63,联系方式标记数量汇总，反映联系信息完整程度。
stage5_lightgbm_smote_gpu,77,DAYS_EMPLOYED_ANOMALY,DAYS_EMPLOYED_ANOMALY,,numeric,age_and_tenure,2661.8047857284546,30,当前工作年限，反映就业稳定性。
stage5_lightgbm_smote_gpu,78,NAME_FAMILY_STATUS_Single / not married,NAME_FAMILY_STATUS,Single / not married,one_hot,categorical_profile,2654.664158821106,42,婚姻/家庭状态。
stage5_lightgbm_smote_gpu,79,income_per_person,income_per_person,,numeric,amount_and_ratio,2630.732568502426,218,家庭人均收入。
stage5_lightgbm_smote_gpu,80,log_AMT_ANNUITY,log_AMT_ANNUITY,,numeric,other,2548.0666098594666,163,分期还款金额的对数变换，用来降低极端年金值对模型的影响。
stage5_lightgbm_smote_gpu,81,AMT_CREDIT,AMT_CREDIT,,numeric,amount_and_ratio,2460.7106914520264,133,贷款授信金额，金额越高，潜在敞口越大。
stage5_lightgbm_smote_gpu,82,ELEVATORS_MODE,ELEVATORS_MODE,,numeric,other,2069.703374862671,27,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,83,NAME_FAMILY_STATUS_Widow,NAME_FAMILY_STATUS,Widow,one_hot,categorical_profile,2057.37779045105,35,婚姻/家庭状态。
stage5_lightgbm_smote_gpu,84,LIVE_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,,numeric,other,1781.3337597846985,41,"Flag if client's contact address does not match work address (1=different, 0=same, at city level)"
stage5_lightgbm_smote_gpu,85,FLOORSMAX_MODE,FLOORSMAX_MODE,,numeric,other,1771.847505569458,30,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,86,WEEKDAY_APPR_PROCESS_START_SATURDAY,WEEKDAY_APPR_PROCESS_START,SATURDAY,one_hot,other,1629.3501386642456,37,贷款申请提交的星期几。
stage5_lightgbm_smote_gpu,87,ENTRANCES_MODE,ENTRANCES_MODE,,numeric,other,1565.7676243782043,50,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,88,NONLIVINGAPARTMENTS_AVG,NONLIVINGAPARTMENTS_AVG,,numeric,other,1472.188717842102,24,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,89,NONLIVINGAREA_MODE,NONLIVINGAREA_MODE,,numeric,other,1420.4137244224548,64,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,90,NAME_INCOME_TYPE_State servant,NAME_INCOME_TYPE,State servant,one_hot,categorical_profile,1388.4265880584717,11,收入来源类型。
stage5_lightgbm_smote_gpu,91,ORGANIZATION_TYPE_Construction,ORGANIZATION_TYPE,Construction,one_hot,categorical_profile,1379.8411140441895,55,工作单位/组织类型。
stage5_lightgbm_smote_gpu,92,log_AMT_CREDIT,log_AMT_CREDIT,,numeric,other,1343.7153182029724,85,授信金额的对数变换，用来降低极端授信金额对模型的影响。
stage5_lightgbm_smote_gpu,93,TOTALAREA_MODE,TOTALAREA_MODE,,numeric,other,1265.4241037368774,93,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,94,log_AMT_INCOME_TOTAL,log_AMT_INCOME_TOTAL,,numeric,other,1198.0540776252747,95,收入金额的对数变换，用来降低极端收入值对模型的影响。
stage5_lightgbm_smote_gpu,95,FLAG_EMP_PHONE,FLAG_EMP_PHONE,,numeric,flags_and_contacts,1194.765929698944,25,布尔标记类字段，反映申请材料、联系方式或资产信息是否存在。
stage5_lightgbm_smote_gpu,96,AMT_INCOME_TOTAL,AMT_INCOME_TOTAL,,numeric,amount_and_ratio,1143.6946487426758,99,申请人收入水平，用于衡量还款能力。
stage5_lightgbm_smote_gpu,97,YEARS_BEGINEXPLUATATION_AVG,YEARS_BEGINEXPLUATATION_AVG,,numeric,other,1123.3555812835693,82,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,98,LANDAREA_MODE,LANDAREA_MODE,,numeric,other,947.2634296417236,78,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,99,OCCUPATION_TYPE_Accountants,OCCUPATION_TYPE,Accountants,one_hot,categorical_profile,940.333179473877,39,职业类型。
stage5_lightgbm_smote_gpu,100,NAME_CONTRACT_TYPE_Cash loans,NAME_CONTRACT_TYPE,Cash loans,one_hot,categorical_profile,924.5926671028137,36,贷款产品类型。
stage5_lightgbm_smote_gpu,101,APARTMENTS_MODE,APARTMENTS_MODE,,numeric,other,905.0514998435974,66,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,102,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BEGINEXPLUATATION_MEDI,,numeric,other,857.1623368263245,69,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,103,WEEKDAY_APPR_PROCESS_START_SUNDAY,WEEKDAY_APPR_PROCESS_START,SUNDAY,one_hot,other,854.1558384895325,25,贷款申请提交的星期几。
stage5_lightgbm_smote_gpu,104,LIVINGAREA_AVG,LIVINGAREA_AVG,,numeric,other,837.2749962806702,67,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,105,LIVINGAREA_MODE,LIVINGAREA_MODE,,numeric,other,817.0765810012817,63,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,106,ENTRANCES_MEDI,ENTRANCES_MEDI,,numeric,other,797.2269015312195,48,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,107,OCCUPATION_TYPE_High skill tech staff,OCCUPATION_TYPE,High skill tech staff,one_hot,categorical_profile,771.6664171218872,37,职业类型。
stage5_lightgbm_smote_gpu,108,BASEMENTAREA_MODE,BASEMENTAREA_MODE,,numeric,other,766.0571894645691,60,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,109,APARTMENTS_AVG,APARTMENTS_AVG,,numeric,other,730.929491519928,57,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,110,LANDAREA_AVG,LANDAREA_AVG,,numeric,other,730.525420665741,59,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,111,ORGANIZATION_TYPE_School,ORGANIZATION_TYPE,School,one_hot,categorical_profile,701.6071691513062,32,工作单位/组织类型。
stage5_lightgbm_smote_gpu,112,ORGANIZATION_TYPE_Transport: type 3,ORGANIZATION_TYPE,Transport: type 3,one_hot,categorical_profile,696.5656335353851,37,工作单位/组织类型。
stage5_lightgbm_smote_gpu,113,COMMONAREA_MODE,COMMONAREA_MODE,,numeric,other,693.6729512214661,60,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,114,NAME_FAMILY_STATUS_Civil marriage,NAME_FAMILY_STATUS,Civil marriage,one_hot,categorical_profile,682.3877062797546,32,婚姻/家庭状态。
stage5_lightgbm_smote_gpu,115,YEARS_BEGINEXPLUATATION_MODE,YEARS_BEGINEXPLUATATION_MODE,,numeric,other,681.1909317970276,52,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,116,FLOORSMAX_MEDI,FLOORSMAX_MEDI,,numeric,other,665.9744863510132,26,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,117,BASEMENTAREA_AVG,BASEMENTAREA_AVG,,numeric,other,665.2725796699524,53,居住房屋地下室面积相关标准化信息，属于居住条件特征。
stage5_lightgbm_smote_gpu,118,COMMONAREA_AVG,COMMONAREA_AVG,,numeric,other,653.1440076828003,51,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,119,COMMONAREA_MEDI,COMMONAREA_MEDI,,numeric,other,645.9305129051208,52,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,120,BASEMENTAREA_MEDI,BASEMENTAREA_MEDI,,numeric,other,579.8163228034973,47,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,121,LANDAREA_MEDI,LANDAREA_MEDI,,numeric,other,568.5958099365234,45,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,122,YEARS_BUILD_AVG,YEARS_BUILD_AVG,,numeric,other,561.5905394554138,48,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,123,NAME_TYPE_SUITE_Family,NAME_TYPE_SUITE,Family,one_hot,categorical_profile,559.8650045394897,29,Who was accompanying client when he was applying for the loan
stage5_lightgbm_smote_gpu,124,NAME_FAMILY_STATUS_Separated,NAME_FAMILY_STATUS,Separated,one_hot,categorical_profile,556.8676452636719,22,婚姻/家庭状态。
stage5_lightgbm_smote_gpu,125,YEARS_BUILD_MEDI,YEARS_BUILD_MEDI,,numeric,other,550.2448978424072,35,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,126,NONLIVINGAREA_AVG,NONLIVINGAREA_AVG,,numeric,other,544.6717801094055,44,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,127,FLOORSMAX_AVG,FLOORSMAX_AVG,,numeric,other,510.9922614097595,33,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,128,REG_REGION_NOT_WORK_REGION,REG_REGION_NOT_WORK_REGION,,numeric,other,490.75730323791504,14,"Flag if client's permanent address does not match work address (1=different, 0=same, at region level)"
stage5_lightgbm_smote_gpu,129,NONLIVINGAREA_MEDI,NONLIVINGAREA_MEDI,,numeric,other,482.14433908462524,40,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
