column,role,dtype,missing_count,missing_rate,unique_count,source_table,official_description,official_special,is_in_application_train,is_in_application_test,derived_formula,modeling_action
REGION_RATING_CLIENT_W_CITY,feature,int64,0,0.0,3,application_{train|test}.csv,"Our rating of the region where client lives with taking city into account (1,2,3)",,True,True,,candidate feature after normal preprocessing and leakage review
WEEKDAY_APPR_PROCESS_START,feature,str,0,0.0,7,application_{train|test}.csv,On which day of the week did the client apply for the loan,,True,True,,candidate feature after normal preprocessing and leakage review
HOUR_APPR_PROCESS_START,feature,int64,0,0.0,24,application_{train|test}.csv,Approximately at what hour did the client apply for the loan,rounded,True,True,,candidate feature after normal preprocessing and leakage review
REG_REGION_NOT_LIVE_REGION,feature,int64,0,0.0,2,application_{train|test}.csv,"Flag if client's permanent address does not match contact address (1=different, 0=same, at region level)",,True,True,,candidate feature after normal preprocessing and leakage review
REG_REGION_NOT_WORK_REGION,feature,int64,0,0.0,2,application_{train|test}.csv,"Flag if client's permanent address does not match work address (1=different, 0=same, at region level)",,True,True,,candidate feature after normal preprocessing and leakage review
LIVE_REGION_NOT_WORK_REGION,feature,int64,0,0.0,2,application_{train|test}.csv,"Flag if client's contact address does not match work address (1=different, 0=same, at region level)",,True,True,,candidate feature after normal preprocessing and leakage review
REG_CITY_NOT_LIVE_CITY,feature,int64,0,0.0,2,application_{train|test}.csv,"Flag if client's permanent address does not match contact address (1=different, 0=same, at city level)",,True,True,,candidate feature after normal preprocessing and leakage review
REG_CITY_NOT_WORK_CITY,feature,int64,0,0.0,2,application_{train|test}.csv,"Flag if client's permanent address does not match work address (1=different, 0=same, at city level)",,True,True,,candidate feature after normal preprocessing and leakage review
LIVE_CITY_NOT_WORK_CITY,feature,int64,0,0.0,2,application_{train|test}.csv,"Flag if client's contact address does not match work address (1=different, 0=same, at city level)",,True,True,,candidate feature after normal preprocessing and leakage review
ORGANIZATION_TYPE,feature,str,0,0.0,58,application_{train|test}.csv,Type of organization where client works,,True,True,,candidate feature after normal preprocessing and leakage review
EXT_SOURCE_1,feature,float64,173378,0.5638107254699832,114584,application_{train|test}.csv,Normalized score from external data source,normalized,True,True,,candidate feature after normal preprocessing and leakage review
EXT_SOURCE_2,feature,float64,660,0.0021462646864665006,119831,application_{train|test}.csv,Normalized score from external data source,normalized,True,True,,candidate feature after normal preprocessing and leakage review
EXT_SOURCE_3,feature,float64,60965,0.19825307062186392,814,application_{train|test}.csv,Normalized score from external data source,normalized,True,True,,candidate feature after normal preprocessing and leakage review
APARTMENTS_AVG,feature,float64,156061,0.5074972927797705,2339,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
BASEMENTAREA_AVG,feature,float64,179943,0.5851595552679416,3780,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
YEARS_BEGINEXPLUATATION_AVG,feature,float64,150007,0.48781019215572774,285,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
YEARS_BUILD_AVG,feature,float64,204488,0.6649778381911542,149,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
COMMONAREA_AVG,feature,float64,214865,0.6987229725115525,3181,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
ELEVATORS_AVG,feature,float64,163891,0.532959796560123,257,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
ENTRANCES_AVG,feature,float64,154828,0.503487680115508,285,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
FLOORSMAX_AVG,feature,float64,153020,0.4976082156410665,403,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
FLOORSMIN_AVG,feature,float64,208642,0.6784862980511266,305,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
LANDAREA_AVG,feature,float64,182590,0.5937673774271489,3527,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
LIVINGAPARTMENTS_AVG,feature,float64,210199,0.6835495315614726,1868,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
LIVINGAREA_AVG,feature,float64,154350,0.5019332641759157,5199,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
NONLIVINGAPARTMENTS_AVG,feature,float64,213514,0.6943296337366793,386,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
NONLIVINGAREA_AVG,feature,float64,169682,0.5517916432257708,3290,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
APARTMENTS_MODE,feature,float64,156061,0.5074972927797705,760,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
BASEMENTAREA_MODE,feature,float64,179943,0.5851595552679416,3841,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
YEARS_BEGINEXPLUATATION_MODE,feature,float64,150007,0.48781019215572774,221,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
YEARS_BUILD_MODE,feature,float64,204488,0.6649778381911542,154,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
COMMONAREA_MODE,feature,float64,214865,0.6987229725115525,3128,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
ELEVATORS_MODE,feature,float64,163891,0.532959796560123,26,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
ENTRANCES_MODE,feature,float64,154828,0.503487680115508,30,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
FLOORSMAX_MODE,feature,float64,153020,0.4976082156410665,25,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
FLOORSMIN_MODE,feature,float64,208642,0.6784862980511266,25,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
LANDAREA_MODE,feature,float64,182590,0.5937673774271489,3563,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
LIVINGAPARTMENTS_MODE,feature,float64,210199,0.6835495315614726,736,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
LIVINGAREA_MODE,feature,float64,154350,0.5019332641759157,5301,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
NONLIVINGAPARTMENTS_MODE,feature,float64,213514,0.6943296337366793,167,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
NONLIVINGAREA_MODE,feature,float64,169682,0.5517916432257708,3327,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
APARTMENTS_MEDI,feature,float64,156061,0.5074972927797705,1148,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
BASEMENTAREA_MEDI,feature,float64,179943,0.5851595552679416,3772,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
YEARS_BEGINEXPLUATATION_MEDI,feature,float64,150007,0.48781019215572774,245,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
YEARS_BUILD_MEDI,feature,float64,204488,0.6649778381911542,151,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
COMMONAREA_MEDI,feature,float64,214865,0.6987229725115525,3202,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
ELEVATORS_MEDI,feature,float64,163891,0.532959796560123,46,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
ENTRANCES_MEDI,feature,float64,154828,0.503487680115508,46,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
FLOORSMAX_MEDI,feature,float64,153020,0.4976082156410665,49,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
FLOORSMIN_MEDI,feature,float64,208642,0.6784862980511266,47,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
LANDAREA_MEDI,feature,float64,182590,0.5937673774271489,3560,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
LIVINGAPARTMENTS_MEDI,feature,float64,210199,0.6835495315614726,1097,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
LIVINGAREA_MEDI,feature,float64,154350,0.5019332641759157,5281,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
NONLIVINGAPARTMENTS_MEDI,feature,float64,213514,0.6943296337366793,214,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
NONLIVINGAREA_MEDI,feature,float64,169682,0.5517916432257708,3323,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
FONDKAPREMONT_MODE,feature,str,210295,0.6838617155158677,4,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
HOUSETYPE_MODE,feature,str,154297,0.50176091261776,3,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
TOTALAREA_MODE,feature,float64,148431,0.4826851722377411,5116,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
WALLSMATERIAL_MODE,feature,str,156341,0.508407829313423,7,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
EMERGENCYSTATE_MODE,feature,str,145755,0.47398304450897694,2,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,True,True,,candidate feature after normal preprocessing and leakage review
OBS_30_CNT_SOCIAL_CIRCLE,feature,float64,1021,0.0033202064316398437,33,application_{train|test}.csv,How many observation of client's social surroundings with observable 30 DPD (days past due) default,,True,True,,candidate feature after normal preprocessing and leakage review
DEF_30_CNT_SOCIAL_CIRCLE,feature,float64,1021,0.0033202064316398437,10,application_{train|test}.csv,How many observation of client's social surroundings defaulted on 30 DPD (days past due) ,,True,True,,candidate feature after normal preprocessing and leakage review
OBS_60_CNT_SOCIAL_CIRCLE,feature,float64,1021,0.0033202064316398437,33,application_{train|test}.csv,How many observation of client's social surroundings with observable 60 DPD (days past due) default,,True,True,,candidate feature after normal preprocessing and leakage review
DEF_60_CNT_SOCIAL_CIRCLE,feature,float64,1021,0.0033202064316398437,9,application_{train|test}.csv,How many observation of client's social surroundings defaulted on 60 (days past due) DPD,,True,True,,candidate feature after normal preprocessing and leakage review
DAYS_LAST_PHONE_CHANGE,feature,float64,1,3.2519161916159095e-06,3773,application_{train|test}.csv,How many days before application did client change phone,,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_DOCUMENT_2,feature,int64,0,0.0,2,application_{train|test}.csv,Did client provide document 2,,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_DOCUMENT_3,feature,int64,0,0.0,2,application_{train|test}.csv,Did client provide document 3,,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_DOCUMENT_4,feature,int64,0,0.0,2,application_{train|test}.csv,Did client provide document 4,,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_DOCUMENT_5,feature,int64,0,0.0,2,application_{train|test}.csv,Did client provide document 5,,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_DOCUMENT_6,feature,int64,0,0.0,2,application_{train|test}.csv,Did client provide document 6,,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_DOCUMENT_7,feature,int64,0,0.0,2,application_{train|test}.csv,Did client provide document 7,,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_DOCUMENT_8,feature,int64,0,0.0,2,application_{train|test}.csv,Did client provide document 8,,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_DOCUMENT_9,feature,int64,0,0.0,2,application_{train|test}.csv,Did client provide document 9,,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_DOCUMENT_10,feature,int64,0,0.0,2,application_{train|test}.csv,Did client provide document 10,,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_DOCUMENT_11,feature,int64,0,0.0,2,application_{train|test}.csv,Did client provide document 11,,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_DOCUMENT_12,feature,int64,0,0.0,2,application_{train|test}.csv,Did client provide document 12,,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_DOCUMENT_13,feature,int64,0,0.0,2,application_{train|test}.csv,Did client provide document 13,,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_DOCUMENT_14,feature,int64,0,0.0,2,application_{train|test}.csv,Did client provide document 14,,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_DOCUMENT_15,feature,int64,0,0.0,2,application_{train|test}.csv,Did client provide document 15,,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_DOCUMENT_16,feature,int64,0,0.0,2,application_{train|test}.csv,Did client provide document 16,,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_DOCUMENT_17,feature,int64,0,0.0,2,application_{train|test}.csv,Did client provide document 17,,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_DOCUMENT_18,feature,int64,0,0.0,2,application_{train|test}.csv,Did client provide document 18,,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_DOCUMENT_19,feature,int64,0,0.0,2,application_{train|test}.csv,Did client provide document 19,,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_DOCUMENT_20,feature,int64,0,0.0,2,application_{train|test}.csv,Did client provide document 20,,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_DOCUMENT_21,feature,int64,0,0.0,2,application_{train|test}.csv,Did client provide document 21,,True,True,,candidate feature after normal preprocessing and leakage review
AMT_REQ_CREDIT_BUREAU_HOUR,feature,float64,41519,0.13501630835970097,5,application_{train|test}.csv,Number of enquiries to Credit Bureau about the client one hour before application,,True,True,,candidate feature after normal preprocessing and leakage review
AMT_REQ_CREDIT_BUREAU_DAY,feature,float64,41519,0.13501630835970097,9,application_{train|test}.csv,Number of enquiries to Credit Bureau about the client one day before application (excluding one hour before application),,True,True,,candidate feature after normal preprocessing and leakage review
AMT_REQ_CREDIT_BUREAU_WEEK,feature,float64,41519,0.13501630835970097,9,application_{train|test}.csv,Number of enquiries to Credit Bureau about the client one week before application (excluding one day before application),,True,True,,candidate feature after normal preprocessing and leakage review
AMT_REQ_CREDIT_BUREAU_MON,feature,float64,41519,0.13501630835970097,24,application_{train|test}.csv,Number of enquiries to Credit Bureau about the client one month before application (excluding one week before application),,True,True,,candidate feature after normal preprocessing and leakage review
AMT_REQ_CREDIT_BUREAU_QRT,feature,float64,41519,0.13501630835970097,11,application_{train|test}.csv,Number of enquiries to Credit Bureau about the client 3 month before application (excluding one month before application),,True,True,,candidate feature after normal preprocessing and leakage review
AMT_REQ_CREDIT_BUREAU_YEAR,feature,float64,41519,0.13501630835970097,25,application_{train|test}.csv,Number of enquiries to Credit Bureau about the client one day year (excluding last 3 months before application),,True,True,,candidate feature after normal preprocessing and leakage review
